音声ファイル読み込み中...
ファイルサイズ: 24.7MB
Gemini 2.5 Flash に送信中...
処理時間: 131.8秒

===== 文字起こし結果 =====

ディレクター（男性）: [0:00] ああ。
ディレクター（男性）: [0:01] やってみましょう。
ゆのん（女性）: [0:01] お願いします。
おさき（女性）: [0:03] お願いします。
ゆのん（女性）: [0:04] お願いします。
ゆのん（女性）: [0:05] すごいのが来るんですか？
おさき（女性）: [0:06] お願いします。
ゆのん（女性）: [0:07] お願いします！
ゆのん（女性）: [0:08] お願いします！
ゆのん（女性）: [0:09] お願いします。
ゆのん（女性）: [0:15] インフルエンサークリエイターやってます中島ゆのんです！イエイイエイ！
おさき（女性）: [0:19] イエイイエイ。
おさき（女性）: [0:20] YouTubeを中心にインフルエンサーやってます、おさきです。
ゆのん（女性）: [0:24] イエイ！
おさき（女性）: [0:24] お願いします。
ゆのん（女性）: [0:25] 仲良しです。
おさき（女性）: [0:26] 仲良しです。
ゆのん（女性）: [0:27] 今日待ってました、ちなみに。
おさき（女性）: [0:29] 今日待ってました。
ディレクター（男性）: [0:31] 占い、ご興味はありますか？
ゆのん（女性）: [0:33] めちゃくちゃあります、私。
みみこ（女性）: [0:35] ゆのんさんはヤバいです。
ゆのん（女性）: [0:36] ゆのんガチでスピの女王じゃん。
ゆのん（女性）: [0:40] スピ女王だね。
おさき（女性）: [0:41] スピ女王です。
ゆのん（女性）: [0:42] 大女王です。
おさき（女性）: [0:43] マジで。私初めてなんです、占い。
ゆのん（女性）: [0:45] うわー。
おさき（女性）: [0:46] 私、本当に言ったことなくて、ゆのんからマジでめちゃめちゃ誘われるんですよ。
ゆのん（女性）: [0:50] もういろんなお店紹介してもらって「行こうや！行こうや！」
おさき（女性）: [0:54] で、言われてるけど、もう
ゆのん（女性）: [0:57] いや、おさき信じちゃうから。
おさき（女性）: [0:58] もう絶対もう、その世界に入りたくないみたいな感じで。
ゆのん（女性）: [1:02] そういうこと？
おさき（女性）: [1:02] そう。
ゆのん（女性）: [1:03] ずっと断ってたんじゃん、ずっと。
おさき（女性）: [1:04] そう。そっちだ。
ゆのん（女性）: [1:05] そう、ほんとにずっと断ってたんだけど。
おさき（女性）: [1:07] ちょっと、これを機にデビューしちゃいます、占い。
ゆのん（女性）: [1:11] いやー、楽しみー。
おさき（女性）: [1:12] でもこれガチなんだね。本当に、事前の情報とか何も言ってないじゃん。
ゆのん（女性）: [1:16] 言ってない。
おさき（女性）: [1:17] で、しかもインタビューの時さ、みんなさ、「うわー！」みたいな言ってるじゃん。
ゆのん（女性）: [1:19] えー！
おさき（女性）: [1:20] え？って思ってたけど、ガチで「えー！」ってなってたんだけど。
ゆのん（女性）: [1:22] めっちゃほんまにびっくりしたんですけど。
おさき（女性）: [1:25] ねー。
ゆのん（女性）: [1:27] びっくりしたね。
おさき（女性）: [1:28] うーん。
ゆのん（女性）: [1:29] うーん。
ゆのん（女性）: [1:31] あ、仲良しだ。
おさき（女性）: [1:32] お願いします。
ゆのん（女性）: [1:34] うわー。
ゆのん（女性）: [1:35] おはようございまーす！
おさき（女性）: [1:36] おはようございまーす！
ゆのん（女性）: [1:37] みみこ先生！
おさき（女性）: [1:39] お願いします！
ゆのん（女性）: [1:40] お願いしまーす！
おさき（女性）: [1:41] お願いしまーす！
ゆのん（女性）: [1:42] すごい！
ディレクター（男性）: [1:43] めっちゃ元気。
みみこ（女性）: [1:45] ではではどうぞどうぞ。
ゆのん（女性）: [1:46] お願いしまーす！
おさき（女性）: [1:47] お願いしまーす！
みみこ（女性）: [1:48] 私が占うのは青年月日、生まれた場所と時間からその人の生まれ持った宿命を見ることができます。紀元前から続く占いです。
みみこ（女性）: [1:58] こちらの10種類の天体を、生まれた時間と生まれた場所から12の部屋に配置し、その掛け合わせで占います。
ナレーター（女性）: [2:07] みみこのホロスコープ占いでは、青年月日、生まれた場所と時間であなたの本質や宿命が明らかに。
ナレーター（女性）: [2:15] あなたのホロスコープでは、性格、恋愛、仕事運が分かります。
ナレーター（女性）: [2:20] まずは無料でお試し。概要欄のURLからチェック！
ディレクター（男性）: [2:25] ガチで二人めっちゃ仲いいでしょ。
おさき（女性）: [2:27] え？なんかゆのんいつも言うのは、なんか「こんなに自分のこと話すのはさきちゃんだけ」みたいな感じで言ってくれて、さき的にはそんな良い対応してるつもりもないんですよ。なんか「はいはい」みたいな。結構流すタイプだから人によっては嫌われちゃうかなとか思うんですけど、それ受け入れてくれるっていうのが、あー、もう相性ぴったりだなと思いますよ。
みみこ（女性）: [2:48] あの、実は、お二人、びっくりするぐらいホロスコープ似てます。
おさき（女性）: [2:53] え？反対だと思ってたんですけど。
みみこ（女性）: [2:55] え？ちょっと見てください。じゃん。
ゆのん（女性）: [2:58] え？うそ。
おさき（女性）: [2:59] え？本当だ。
ゆのん（女性）: [3:00] え、一緒じゃん。
おさき（女性）: [3:00] 本当だ。
ゆのん（女性）: [3:01] えー！
おさき（女性）: [3:03] そんなことある？
ゆのん（女性）: [3:04] え？
おさき（女性）: [3:04] え、ちょっと待って、あそこも。
ゆのん（女性）: [3:05] え、本当だ。
おさき（女性）: [3:06] だってこっち左側にあんまいないくない？
ゆのん（女性）: [3:08] え、おらんね。
おさき（女性）: [3:09] え、こっからここじゃん。
ゆのん（女性）: [3:10] さきちゃんもこっからここじゃん。
おさき（女性）: [3:11] 本当だね。
みみこ（女性）: [3:12] 物の考え方とか理屈とか、人に関するこう好き嫌いに至るまで、結構似てるはず。
おさき（女性）: [3:18] 待って。
ゆのん（女性）: [3:19] 人のさ、「これと一緒」みたいなさ。
おさき（女性）: [3:22] こういう人ってめっちゃあるよね、個性。
ゆのん（女性）: [3:24] 感性一緒だよ。
おさき（女性）: [3:26] そこら辺めっちゃわかるよね、そこら辺は。
みみこ（女性）: [3:28] 実は二人とも心を許せる人少ないので。
ゆのん（女性）: [3:32] あー。
おさき（女性）: [3:37] ほんまにそう。
ゆのん（女性）: [3:38] ほんまにそう。
おさき（女性）: [3:39] ほんまにそう。
みみこ（女性）: [3:39] だからお互い貴重な存在のはず。
ゆのん（女性）: [3:41] えー！
おさき（女性）: [3:42] ほんまにそうです。
ゆのん（女性）: [3:43] ありがとうねー！
おさき（女性）: [3:44] ありがとう！
みみこ（女性）: [3:51] ええと、ゆのんさんのね、星がこういうことになってます。
ゆのん（女性）: [3:52] はい。
みみこ（女性）: [3:54] はい。
ゆのん（女性）: [3:55] うん。
みみこ（女性）: [3:56] 一番大切なこと、自分らしさとか本質ってのはこの太陽なんですね。太陽重要で。
ゆのん（女性）: [4:01] はい。
みみこ（女性）: [4:02] 太陽と月っていうのは表向きの顔でしょ。で月っていうのは裏の顔だから、これが割と近い位置にいるってことによって、裏表がないってことになるので。
ゆのん（女性）: [4:10] あ、そういうことか！
みみこ（女性）: [4:11] そうそう。だから結構偉い人とか目上の人とか、あの、力がある人に好かれるっていうのもある。
ゆのん（女性）: [4:17] へえー。
おさき（女性）: [4:17] 確かに。
ゆのん（女性）: [4:18] そうなんじゃ。年上にめっちゃ好かれるし、さ、年上も好きじゃん。
おさき（女性）: [4:22] 年上も好き。
みみこ（女性）: [4:23] なんでそういうことになるかっていうと、人によって態度を変えないので。
ゆのん（女性）: [4:26] あー。
おさき（女性）: [4:27] 確かに。
みみこ（女性）: [4:28] 挨拶、お礼、これを徹底すると開運します。
ゆのん（女性）: [4:32] うわー！
おさき（女性）: [4:34] あ、でも本当にちっちゃい頃から、あの、おばあちゃんとかママからはもうずっと、もう、ゆのんはおばあちゃんがずっともう「挨拶は大事よ」みたいな、「挨拶大事大事」みたいな感じで、「おはようございます」みたいなことも、もう、大事にしてました。もう「ありがとう」とか、もう、「天狗になっちゃダメよ」みたいな感じでずっと言われてました。おばあちゃんとかママからは。
ディレクター（男性）: [4:54] じゃあ、変わらないでね。
ゆのん（女性）: [4:55] はい。
みみこ（女性）: [4:58] あと、月と火星がこうぴったりくっついてるんすよ、今度は。こう。
おさき（女性）: [5:01] くっついてる。
ゆのん（女性）: [5:03] くっついとるじゃん。
おさき（女性）: [5:04] くっついとる。
ゆのん（女性）: [5:05] え、これくっついとるやん。
おさき（女性）: [5:06] くっついてんじゃん。
みみこ（女性）: [5:06] そう。感情と行動が直結するので、全てにおいてオーバーリアクション。
ゆのん（女性）: [5:12] あー！
おさき（女性）: [5:13] え、それ今見てたじゃないですか。
みみこ（女性）: [5:15] そうそうそうそうそうそう。
みみこ（女性）: [5:19] 感情を全てこう、体でこう表現しちゃう。
ゆのん（女性）: [5:23] 確かに。
おさき（女性）: [5:24] 確かに、そうじゃん。
ゆのん（女性）: [5:25] さきちゃんも、「さきちゃんも大好き！」
おさき（女性）: [5:27] 全てお伝えしてくれる。
みみこ（女性）: [5:29] 必ず体のどっか動いてる。
ゆのん（女性）: [5:32] 嘘でしょ。
おさき（女性）: [5:33] あってる。
みみこ（女性）: [5:34] そうそうそうそうそう。
ゆのん（女性）: [5:35] ゆのんちょっと「落ち着いて」みたいに言われるんですよ。
おさき（女性）: [5:37] ほんとにそう。こっちが取り組んでるし、入り込んでるつもりなんじゃけど、「ちょっと落ち着ける」みたいな、ゆのんよりもよく言われるんです。
ゆのん（女性）: [5:43] ちょっとおさえめに「あと20パーぐらいいける」みたいな感じで言われる。
おさき（女性）: [5:47] 毎回言われる。
ゆのん（女性）: [5:48] これんですもん、もう仕方ない。
みみこ（女性）: [5:50] これ生まれつきから決まってるんすから。
ゆのん（女性）: [5:51] あー。
みみこ（女性）: [5:53] あとこの水星ね、ここもう1個あるんですけど。この水星の特製上、実は食べてコミュニケーションを取るのが好きってことなんです。
ゆのん（女性）: [5:55] はい。
おさき（女性）: [6:01] 食べる。
みみこ（女性）: [6:02] 心を許してる人とだったらご飯一緒に食べたい。
ゆのん（女性）: [6:05] へえー。
ゆのん（女性）: [6:07] あたってる。
おさき（女性）: [6:08] あたってる。
ゆのん（女性）: [6:09] あたってる。
おさき（女性）: [6:11] え、今考えたら当たってるわ。
ゆのん（女性）: [6:17] ご飯行こうとか、食べに行こうっていう人はゆのんがちょっとリラックスできる人とかじゃないと行かんかも。
おさき（女性）: [6:22] 絶対行かないと思う。
ゆのん（女性）: [6:23] ご飯行こうとか。
おさき（女性）: [6:24] そうなの？
ゆのん（女性）: [6:24] うん、そう。
みみこ（女性）: [6:25] そういう人とご飯食べてる時のゆのんちゃんって、すごい可愛くなるんですよ。
ゆのん（女性）: [6:31] あー！
みみこ（女性）: [6:32] 子供みたいな感じになっちゃう時がある。
ゆのん（女性）: [6:34] 美味しいね！
みみこ（女性）: [6:37] っていう感じになるから。
ゆのん（女性）: [6:38] そうだよね。
おさき（女性）: [6:39] うまーい！みたいな。
みみこ（女性）: [6:40] そうそうそうそうそう。
ゆのん（女性）: [6:41] 美味しい！
おさき（女性）: [6:43] CM撮ってます、みたいな。
みみこ（女性）: [6:46] あとこの10番ですよね。この海王星を見ると、縛られたり、こう、なんか、ルールをゴリ押しされたりとかすると、もうその場から逃げたくなる。
ゆのん（女性）: [6:56] うわ。
みみこ（女性）: [6:57] んですよ。
ゆのん（女性）: [7:01] そう。
おさき（女性）: [7:02] ほんまにそう。
ゆのん（女性）: [7:03] ほんまにそう。
みみこ（女性）: [7:04] 自分のやり方をこう否定されちゃうと、急に自信がなくなっちゃう。
おさき（女性）: [7:09] へえー。
みみこ（女性）: [7:10] 調子崩しちゃう配置。
おさき（女性）: [7:12] へえー。そうなんだ。
みみこ（女性）: [7:14] だから、そのやり方でいいよって風にこう、後押ししてくれたり、肯定してくれる人。そういう環境にいた方が、実は自分はラッキーになっていくので。
おさき（女性）: [7:18] うんうん。
ゆのん（女性）: [7:22] へえー。
