音声ファイル読み込み中...
ファイルサイズ: 24.7MB
Gemini 2.5 Pro に送信中...
処理時間: 225.2秒

===== 文字起こし結果 =====

中島結音（ゆのん）（女性）
おさき（女性）
彌彌告（みみこ）（女性）
ナレーター（女性）
ディレクター（男性）

---

[0:00] ディレクター（男性）: はい、準備はいいですか？
[0:01] 中島結音（女性）: やばい。
[0:01] 中島結音（女性）: お願いします。
[0:02] おさき（女性）: お願いします。
[0:03] 中島結音（女性）: お願いします。
[0:04] おさき（女性）: お願いします。
[0:05] 中島結音（女性）: すごい、やつですか？
[0:06] おさき（女性）: お願いします。
[0:07] 中島結音（女性）: お願いします。
[0:08] おさき（女性）: お願いします。
[0:09] 中島結音（女性）: うわー！
[0:15] 中島結音（女性）: インフルエンサークリエイターやってます、中島結音です！イェイイェイ！
[0:19] おさき（女性）: イェイイェイ！
[0:20] おさき（女性）: YouTubeを中心にインフルエンサーやってます、おさきです。
[0:24] 中島結音（女性）: イェイイェイ！
[0:24] おさき（女性）: お願いします。
[0:25] 中島結音（女性）: 仲良しです。
[0:26] おさき（女性）: 仲良しです。
[0:27] 中島結音（女性）: 昨日待ってました、ちなみに。
[0:29] おさき（女性）: 昨日待ってました。
[0:31] ディレクター（男性）: 占い、ご興味はありますか？
[0:33] 中島結音（女性）: めちゃくちゃありますよ、私。
[0:35] 彌彌告（女性）: ゆのんさんはやばいです。
[0:36] 中島結音（女性）: ゆのん、ガチでスピの女王じゃん。
[0:39] 彌彌告（女性）: うん。
[0:40] 中島結音（女性）: スピ女王だね。
[0:41] おさき（女性）: スピ女王です。
[0:42] 中島結音（女性）: 大丈夫です。
[0:42] おさき（女性）: マジで。
[0:43] おさき（女性）: 私、初めてなんです、占い。
[0:45] 中島結音（女性）: はは。
[0:46] おさき（女性）: 私、本当に言ったことなくて、/ゆのんからマジでめちゃめちゃ誘われるんですよ。-
[0:50] おさき（女性）: もういろんなお店紹介してもらって「行こうや、行こうや」って。
[0:54] 中島結音（女性）: ふふ。
[0:54] おさき（女性）: で、言われてるけど、もう。
[0:57] 中島結音（女性）: いや、もうさき信じちゃうから、もう絶対もうその世界に踏み入れたくないみたいな感じ。
[1:02] おさき（女性）: そういうこと？
[1:02] 中島結音（女性）: そう。
[1:03] おさき（女性）: 行けなかった。断ってたんじゃん、ずっと。
[1:04] 中島結音（女性）: そう。
[1:05] おさき（女性）: そう、そっちだ。
[1:05] おさき（女性）: ほんとずっと断ってたんだけど、
[1:08] おさき（女性）: ちょっとこれお気に、デビューしちゃいます、占い。
[1:11] 中島結音（女性）: いやー。
[1:12] おさき（女性）: 楽しみ。
[1:12] おさき（女性）: でもこれガチなんだね。
[1:13] おさき（女性）: 本当に事前の情報とか何も言ってないじゃん。
[1:16] 中島結音（女性）: 言ってない。
[1:17] おさき（女性）: で、しかもインタビューの時さ、みんなさ、「うわー」みたいに言ってるじゃん。
[1:19] 中島結音（女性）: えー！
[1:20] おさき（女性）: え？って思ってたけど、ガチで「えー！」ってなったんだけど。
[1:22] 中島結音（女性）: めっちゃほんまにびっくりしたんだけど。
[1:25] おさき（女性）: ねぇ。
[1:27] 中島結音（女性）: びっくりしたね。
[1:28] おさき（女性）: うーん。
[1:29] 中島結音（女性）: うーん。
[1:30] 中島結音（女性）: あ、仲良し。
[1:32] おさき（女性）: お願いします。
[1:34] 中島結音（女性）: ふふふふふ。
[1:35] 中島結音（女性）: おはようございます。
[1:36] おさき（女性）: おはようございます。
[1:37] 中島結音（女性）: みみこ先生！
[1:39] おさき（女性）: お願いします。
[1:40] 中島結音（女性）: お願いします。
[1:41] おさき（女性）: お願いします。
[1:42] 中島結音（女性）: お願いします。
[1:42] ディレクター（男性）: めっちゃ元気。
[1:44] 中島結音（女性）: ふふふふふ。
[1:45] ディレクター（男性）: じゃあじゃあどうぞどうぞ。
[1:46] おさき（女性）: お願いします。
[1:47] 中島結音（女性）: お願いします。
[1:48] 彌彌告（女性）: 私のホロスコープとは、青年月日、生まれた場所と時間からその人の生まれ持った宿命を見ることができる紀元前より続く占いです。
[1:58] 彌彌告（女性）: こちらの10種類の天体を生まれた時間と生まれた場所から12の部屋に配置し、その掛け合わせで占います。
[2:07] ナレーター（女性）: みみこのホロスコープ占いでは、青年月日、生まれた場所と時間であなたの本質や宿命が明らかに。
