音声ファイル読み込み中...
ファイルサイズ: 24.7MB
Gemini 2.5 Pro に送信中...
処理時間: 256.4秒

===== 文字起こし結果 =====

お: [0:00] お願いし
話者（男性）: [0:00] お願いします
ゆのん（女性）: [0:00] お願いします
おさき（女性）: [0:01] やっぱお願いします
ゆのん（女性）: [0:01] やばいやばいやばいやばい
おさき（女性）: [0:02] やばい
ゆのん（女性）: [0:02] お願いします
おさき（女性）: [0:03] お願いします。すごいよやつですか？
ゆのん（女性）: [0:04] お願いします
おさき（女性）: [0:05] お願いします
ゆのん（女性）: [0:06] お願いします
おさき（女性）: [0:07] お願いします！
ゆのん（女性）: [0:08] お願いします
おさき（女性）: [0:09] っしゃ
ゆのん（女性）: [0:15] インフルエンザクリエイターやってます中島ゆのんです。イエイイエイ
おさき（女性）: [0:18] イエイ
話者（男性）: [0:18] イエイ
おさき（女性）: [0:20] YouTubeを中心にインフルエンサーやってます。おさきです。
ゆのん（女性）: [0:24] イエイ
おさき（女性）: [0:24] お願いします
ゆのん（女性）: [0:24] お願いします。
おさき（女性）: [0:25] なかよしです
ゆのん（女性）: [0:26] なかよしです。
おさき（女性）: [0:27] 昨日会ってましたちなみに。
ゆのん（女性）: [0:28] 昨日会ってました
おさき（女性）: [0:29] てへ。
話者（男性）: [0:31] 占いご興味はありますか？
ゆのん（女性）: [0:33] めっちゃくちゃあります私。
おさき（女性）: [0:35] ゆのんさんはやばいです。
話者（男性）: [0:36] ゆのんガチでスピの女王じゃん。
ゆのん（女性）: [0:39] へえ
おさき（女性）: [0:40] スピ女王だね。
ゆのん（女性）: [0:41] スピ女王だ。
おさき（女性）: [0:42] 大丈夫です。
ゆのん（女性）: [0:42] マジで。私初めてなんですよ、占い。
おさき（女性）: [0:45] 私本当に言ったことなくて。で、ゆのんからマジでめちゃめちゃ誘われるんですよ。
ゆのん（女性）: [0:50] もういろんなお店紹介してもらって「行こうや行こうや」って言われてるけど、もう
おさき（女性）: [0:53] ああ
ゆのん（女性）: [0:54] いやもうさき信じちゃうから。もう絶対もうこの世界に踏み入れたくないみたいな感じ。
おさき（女性）: [1:02] そういうこと？
ゆのん（女性）: [1:02] そう。行けなかったんですよ。
おさき（女性）: [1:03] ずっと断っとったんじゃん、ずっと。
ゆのん（女性）: [1:04] そう。そっちだ。
おさき（女性）: [1:05] そうもうずっと断ってたんだっけ？
ゆのん（女性）: [1:07] ちょっとこれを機にデビューしちゃいます、占い。
おさき（女性）: [1:11] いやあ。楽しみ。
ゆのん（女性）: [1:12] でもこれガチなんだね。本当に事前の情報とか何も聞いてないじゃん。
おさき（女性）: [1:16] 聞いてない。
ゆのん（女性）: [1:17] で、しかもインタビューの時さ、みんなさ「うわー！」みたいな言ってるじゃん。え？って思ってたけど、ガチで「えー！」ってなったんだけど。
おさき（女性）: [1:23] めっちゃほんまにびっくりしたんだけど。
ゆのん（女性）: [1:25] ねえ。
おさき（女性）: [1:27] びっくりしたね。
ゆのん（女性）: [1:27] うん。
おさき（女性）: [1:28] うーん
ゆのん（女性）: [1:29] うーん
おさき（女性）: [1:30] あ、仲良いし。
ゆのん（女性）: [1:31] お願いします。
おさき（女性）: [1:32] お願いします。
ゆのん（女性）: [1:35] おはようございます。
おさき（女性）: [1:35] おはようございます。
ゆのん（女性）: [1:36] おはようございます。
おさき（女性）: [1:38] みみこ先生。
ゆのん（女性）: [1:39] お願いします。
おさき（女性）: [1:40] お願いします。お願いします。
ゆのん（女性）: [1:41] お願いします。
おさき（女性）: [1:42] すごい。
話者（男性）: [1:43] めっちゃ元気。
おさき（女性）: [1:44] ではではどうぞどうぞ。
ゆのん（女性）: [1:46] お願いします。
みみこ（女性）: [1:48] 私ホロスコープとは青年月日、生まれた場所と時間から、その人の生まれ持った宿命を見ることができます。紀元前より続く占いデス。
みみこ（女性）: [1:58] こちらの10種類の天体を、生まれた時間と生まれた場所から、12の部屋に配置し、その掛け合わせで占います。
みみこ（女性）: [2:07] みみこのホロスコープ占いでは、青年月日、生まれた場所と時間で、あなたの本質や宿命が明らかに。
みみこ（女性）: [2:15] あなたのホロスコープでは、性格、恋愛、仕事運が分かります。
みみこ（女性）: [2:20] まずは無料でお試し、概要欄のURLからチェック。
話者（男性）: [2:25] ガチで2人めっちゃ仲いいでしょ。
おさき（女性）: [2:27] え？
ゆのん（女性）: [2:28] なんかゆのんいつも言うのは、なんか「こんなに自分のこと話すのはさきちゃんだけ」みたいな。
おさき（女性）: [2:33] ああ
ゆのん（女性）: [2:33] 感じで言ってくれて。さき的にはそんな良い対応してるつもりもないんですよ。
おさき（女性）: [2:37] うん
ゆのん（女性）: [2:38] なんか「はいはい」みたいな。結構流すタイプだから。
おさき（女性）: [2:41] うん
ゆのん（女性）: [2:42] 人によっては嫌われちゃうかなとか思うんですけど。
おさき（女性）: [2:44] それ受け入れてくれるっていうのは。
ゆのん（女性）: [2:45] ああもう相性ぴったりだなと思います。
話者（男性）: [2:48] あの、実は、お二人びっくりするぐらいホロスコープ似てます。
ゆのん（女性）: [2:53] ええ！？
おさき（女性）: [2:53] え、反対の人なんじゃ？
ゆのん（女性）: [2:55] ええ！？
みみこ（女性）: [2:55] ちょっと見てください。じゃん。
ゆのん（女性）: [2:58] ええ？
おさき（女性）: [2:59] ええ？
ゆのん（女性）: [2:59] え、まじか。
おさき（女性）: [3:00] え、一緒じゃん。
ゆのん（女性）: [3:01] えええ！？
おさき（女性）: [3:02] えええ！？
ゆのん（女性）: [3:03] そんなことある？
おさき（女性）: [3:04] え？でも待って、あそこも。
ゆのん（女性）: [3:05] え、本当だ。
おさき（女性）: [3:07] だって、こっち左側にあまりいなくない？
ゆのん（女性）: [3:08] え、おらんね。
おさき（女性）: [3:09] え、こっからここじゃん。さきちゃんもこっからここじゃん。
ゆのん（女性）: [3:11] 本当だね。
みみこ（女性）: [3:11] 物の考え方とか理屈とか人に換するこう好き嫌いに至るまで結構似てるはずです。
ゆのん（女性）: [3:18] 待って。
おさき（女性）: [3:19] 人のさ「これちょっと」みたいなさ。
ゆのん（女性）: [3:22] この人。「ええ！」とか。
おさき（女性）: [3:23] めっちゃあるよね。
ゆのん（女性）: [3:24] 感受性一緒だよね。
おさき（女性）: [3:26] そこらへんめっちゃ分かるよね、そこらへんは。
みみこ（女性）: [3:28] 実は2人とも心を許せる人少ないので。
おさき（女性）: [3:32] ええ。
